a.ecor,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148
0,0.0,186.80924706644115,162.98063771350317,234.2825290621801,867.8189596514054,835.8445469638643,158.8183489821772,2037.0494198913395,334.9281714411527,384.91635218588016,384.91635218588016,1013.2537231416937,1096.547407139362,1021.8685355871319,1013.4415496300184,1044.9049385989754,1020.5531821588924,1581.447986214301,2170.411706176075,1656.2228716662135,1659.3192115984068,1668.806896077741,926.4280779838289,933.8271491445504,935.6468358763633,734.2080672480051,791.654688526983,652.3029200951404,938.8911984121326,928.9212591641042,927.3665190857196,916.8442314808655,659.3098857677646,457.55066773199866,515.0295645006521,452.14295240134044,411.57876425498233,266.78015743060513,281.47208886354986,569.28459877487,829.2909879148384,719.8503543598633,849.0073196876159,751.0643472838261,701.8773111853075,583.4469782720803,906.5036241680954,844.1074867101047,2003.7407841135116,1232.3240155588755,374.2719083069003,2937.663178886342,1747.5986967723795,1640.6817914094247,427.38372173806783,414.5101079243582,230.22190610379602,948.2873971990462,544.654865390208,384.77610992414753,543.0297191822746,1328.5398518932557,1182.9001439635465,695.8317555934113,1193.2171700459141,1192.1273502254512,628.1159548000926,929.2512370632397,932.2521346769564,934.7041055450346,881.996176675519,1835.9265382588057,1639.0191129622197,1455.29652350139,1518.2947554120683,1631.9732611054549,1497.1803610212892,1423.4475212922,1486.1755720662966,1942.487029542056,1482.4496273997927,1883.621324225566,960.508097608746,565.2962037955867,672.786054644065,790.4584989623694,2103.163054041004,2106.4094043793953,2097.60879996179,874.7351276240963,949.1894697518748,581.4589174357817,541.008853250152,1899.4193587175137,518.6973025877478,64.13403942710248,1813.7374612434714,1591.1468162369479,3304.6632036234882,1602.2759957220417,1435.462467364835,1425.0968532351071,1244.3466744430345,1420.303390792086,1446.3732328327642,1433.3053861589601,1427.387058465393,1426.8320555413875,1434.7351346784158,518.6364011451485,521.8395777597849,539.7313462202292,625.5437056691617,443.2759514252417,583.828153334372,425.421061831411,432.2815504144845,515.8674222694556,444.07015800234745,444.6284851729864,1263.5947289361145,1145.6240927844512,1234.037286634393,1335.256365316268,1193.2355687109296,1339.3019488489,1196.488295109805,1514.612865515467,1174.1909458477635,1253.2931155163099,1566.1132008007992,1303.6870489028408,1379.236011390235,1293.5623787362822,1180.3548027377358,1215.5353936557617,1401.1257908097286,1402.9913002151534,1352.0453727566592,1242.9280890198245,1203.3947812527008,1257.4074345762888,1432.1942614577986,1223.1754113148704,1353.0848996145298,1360.178344433423,1651.888890750276,1640.14399742635,1253.304726912546
1,186.80924706644115,0.0,109.55483400871404,153.66663029224765,771.337366102196,939.5501822112631,306.35573543916064,2141.95434358433,197.9685147881439,198.31227474311027,198.31227474311027,828.0384867416666,915.645891749412,836.5834433143635,827.8605878604086,868.4466256806712,835.037400470324,1410.2376774579825,2010.9049600233604,1482.7318933040335,1486.4891700446055,1495.499659839509,878.157790023815,887.7290631889907,896.0777494855828,769.7338672449483,885.0833609672386,600.4313415524388,891.3178083799081,881.8319086707618,878.889084840321,867.2267371087181,473.5470183952476,391.3149217387542,440.9616706044698,380.5119905428694,280.4218697329266,202.17315407976082,241.5139189775079,455.49661008345305,656.6953544567799,556.9665143492466,690.524959832296,630.4034695353603,557.7310450184556,477.3890126315491,730.1446173551233,670.7091808224538,2098.6074707195976,1376.9050586835735,367.2073878151894,2786.9358086505663,1667.2370146796925,1541.5732764739023,607.7273757169186,499.0615867264229,369.292458678682,1134.4483219063793,725.7848904779177,473.2433410474977,621.3024199223934,1164.8662888085512,1039.6478166789898,615.9160226087507,1380.018789737264,1378.9263766034046,734.6321775177408,802.8950357598808,807.8518124846112,810.1302002476676,745.9153379368987,1654.5219398738402,1461.8439548226038,1270.9983332176173,1332.8026918012326,1446.7531245188413,1312.1696123822483,1238.3029853015846,1311.1210204502893,1756.1489321057102,1298.1284610586085,1697.8532926375174,821.5666177404124,453.6900051257064,495.6457506755466,647.2927864602608,2161.387179246576,2164.7824955430583,2156.484733916836,904.979054018227,1001.062353301571,587.0338513527637,596.0417957507291,1783.3899082723074,610.5462205943645,249.5818600814348,1832.7689697820522,1659.617359246819,3395.5523667834555,1671.7726861963804,1250.997912926579,1239.1914010151531,1058.8298710360677,1236.182062272402,1261.858922428108,1248.9813713782314,1242.908401781589,1242.6760729431562,1250.4438779349807,505.52169990306663,534.296364233515,541.7871123535273,656.1692424784683,437.7055333245893,606.5935301223541,477.88133287765675,423.0946382559159,517.625515522565,450.02409047954615,441.3546756278672,1195.6470161145633,1052.519274064031,1150.04760204572,1236.5851739835948,1103.6869153738069,1256.0914369377952,1095.1857156854549,1391.6299536618465,1085.843801096388,1164.1817920410679,1454.56250416838,1184.5135439756448,1263.3892772414033,1190.4866018833552,1090.2099418260318,1120.6194832574286,1290.6514481135405,1290.934649276049,1240.9030650108398,1165.3373930153173,1115.4889303702628,1165.7269696118215,1304.1609261932022,1136.2718219242909,1253.565262984549,1240.8085909677602,1542.986337279861,1512.1413949531623,1204.2192155159275
2,162.98063771350317,109.55483400871404,0.0,252.43694559400637,714.368177030814,985.1919464642325,317.0751843068181,2188.769147806929,307.5075423664115,274.4614532655682,274.4614532655682,874.1256321188418,948.0124700259794,882.9350667208262,875.6487469353951,891.5960827660676,882.4686694294899,1501.0849346925636,2008.2645129418308,1571.3996140506295,1575.7683431357284,1584.3181401443212,795.9673599815354,804.6506221026917,810.332721609823,662.9322511795161,776.1200601606305,517.8441644139116,808.8900965380307,799.1490628334108,796.7924045877355,785.5702337078808,525.5002150226726,312.6300837578126,367.5436782213017,304.56192885454965,248.60768786603654,114.73777123234044,144.51762811247872,409.04414206919137,673.9200599126756,560.2103552538204,687.6218934457679,590.3159797348954,538.9520310878462,425.1981478445854,753.6839557839206,689.2192096428946,1989.1979049503598,1394.4508202728382,454.29886749348316,2774.6889663726147,1602.8017379023001,1488.0410008662202,539.9102996454953,390.6013257185193,278.83384074857605,1076.7208635629154,657.47712829536,365.4390328827537,511.93870124525216,1261.5520311486362,1144.8012248715204,547.878947096662,1329.7763059581528,1328.8180843542561,627.5155298085105,767.9011984748233,771.2582622637616,773.6827027345398,719.3349788557974,1686.5576693282346,1485.0971827885417,1311.9847500437277,1378.440557596787,1490.9410027196088,1355.74814876543,1282.6079542473442,1330.7263265107204,1805.9754117188443,1339.135794619682,1744.2293455166237,928.2012411690463,563.1879076130558,585.3260304099501,753.5568352432454,2053.3613933841248,2056.742379556649,2048.390227691216,985.5214959925198,1073.2501831101467,673.9360753914834,663.9264828884436,1892.3088843286337,660.7595056011788,223.73970309313765,1731.0016555608577,1550.5669634759367,3286.0033197765474,1562.6651263537651,1323.3773065297137,1306.3081555698905,1105.323231605479,1309.5595334151,1334.0631379320516,1321.7671547440025,1315.269485039871,1315.9419297795823,1323.3171119786564,407.1941207480214,429.9674522176997,439.8353981599121,549.5796294071104,336.2104583531674,500.95754171190595,368.4473906867145,322.29237610895444,415.46664623402194,346.00869468865585,339.3378710441979,1302.8091584419271,994.378021731142,1086.7439818945013,1182.3320343801026,1043.5182820053485,1192.5834880266318,1042.3561663481792,1354.661967688789,1024.9145204867002,1103.896252545624,1409.2269888798442,1144.4164251983257,1220.9144422192721,1139.0124664565017,1030.3647587262212,1063.7657366393867,1244.3668845774089,1245.7644283270897,1195.0186894100045,1098.5032200618527,1054.3741653982079,1106.9864674213245,1271.1359129340958,1074.6194285003694,1199.884798734376,1200.9274984282483,1495.906544757871,1479.2311659814757,1123.5758293848712
3,234.2825290621801,153.66663029224765,252.43694559400637,0.0,915.8361564883007,818.3276898928875,268.3382571195593,2014.0893801593272,112.82016504098392,250.5885451387006,250.5885451387006,872.6926011005306,977.515589042135,880.632870823599,869.9863196116069,942.9622732135208,877.5174486038593,1361.5358029453346,2105.378826913931,1438.7958363121336,1441.0582755220717,1451.1106050668948,1031.2030491989876,1040.909249412654,1049.5792624316646,914.4642715893132,1009.1515124396667,753.7811990242263,1044.3930500640204,1034.954823669016,1031.9179817286142,1020.188478905936,524.4218525380621,544.5952264958436,593.2236540245332,533.4893522971166,421.780302318499,355.1707075802265,392.93805018738425,598.2078550779661,743.4650200872213,661.4893705139568,797.0183945388127,766.8417027143119,680.9788317919504,622.3719239575731,807.4506460285093,755.6006085972879,2224.282629918133,1282.5611973644727,216.66817811020525,2889.6647925539983,1813.1488556649797,1681.4494076095798,649.7218304218051,623.835404506845,460.6386452364225,1146.7102243245288,764.0230832845643,595.7817813744574,750.4349002073342,1102.7210094165798,949.304213354982,765.8622376386568,1377.4701629573046,1376.1812094480047,850.9144318241089,933.9139709586473,939.9338030067165,942.0884521863331,871.4824609480398,1708.5267173468983,1528.7977118779575,1315.7033265449472,1370.0013736922174,1485.0344665238633,1352.6467065877812,1278.5290543578244,1383.923277039125,1783.5741402114882,1342.508491087374,1730.9516414207365,726.5935220350631,332.1884993238162,471.1690036584404,557.6914928054362,2302.531550901126,2305.880646497101,2297.4104101770176,755.0555359410841,855.9174248509368,435.02570970245455,457.61746675438326,1668.0775940470103,490.31729634939774,276.42650112508727,1983.1752152074173,1796.6203582040719,3523.923819545582,1808.402048608764,1243.9146456403016,1242.0777935165215,1098.2536051521054,1227.3438817539986,1254.9864551785045,1241.1388453734573,1235.955148229014,1233.9779749337922,1242.4153953424973,657.3529662080291,682.4023546117638,691.8071556498502,801.367096658374,587.9047080669313,753.2171348997854,614.667928654228,573.6633651484425,667.4879231683116,598.4035694496312,591.2354075505136,1053.474812151651,1196.3643335174895,1296.245408880611,1377.657199107395,1248.4345361814962,1402.1612516304237,1235.890665149701,1520.3387937589255,1231.0309866544303,1308.8244024938795,1589.20916106031,1316.4525314317668,1396.680202379597,1330.0242335905762,1234.8297271590152,1263.5417549161468,1426.479242690607,1426.0013867258517,1376.6429586497052,1313.1438274487082,1260.687503148265,1309.5459573565308,1430.162856932274,1281.6871014035173,1394.2447101771045,1372.3300537463213,1678.6052666059659,1637.1824582723273,1356.7406995762137
4,867.8189596514054,771.337366102196,714.368177030814,915.8361564883007,0.0,1699.5589529939725,1026.5665623384866,2903.0338930038333,896.235956200201,722.1192795289135,722.1192795289135,755.460720935434,707.803737904821,762.3503720313042,767.7453000566941,613.793037044052,769.333401384338,1600.547436821147,1414.7582333936016,1640.2812000163474,1650.4750873402743,1653.3463381067377,254.20958978120638,267.7734681723232,299.02845185217524,566.1755197326007,841.1868908166168,269.24714816195575,263.3448865861481,260.86272598675146,253.6693028630717,243.6968581507947,652.5279092967423,412.99474789589425,354.761087906229,416.5667596362297,494.073219260925,602.135946713685,587.6142031374997,317.7426037371715,490.53293837824094,409.6394034927971,371.2387688657065,176.06721194739694,307.1360372948168,293.98899324892096,551.9686356964074,501.51458305598817,1807.9559092481231,2089.694059702523,1132.2518954539346,2129.9562046022006,897.4388231789328,773.6815442764166,1081.2495486113814,696.6062012127265,821.3153393529846,1582.119299093711,1171.8856326055013,706.8255939448906,688.997732480771,1456.0613029151737,1469.6471077187468,180.3975916621579,1849.1872793396524,1848.8653536292184,822.9825013151467,173.86012958138502,164.07663840044938,166.01401791293938,221.45879011289225,1298.9530359441185,1064.8105521838777,1033.9414478808824,1121.180701338743,1206.6308695329767,1087.9047424544615,1033.101783516354,909.6159781634693,1525.8996942934737,1056.3872024450457,1445.8250673106556,1310.0517144825621,1104.7917237995296,889.0519287243876,1161.0111544571012,1711.6875444874834,1715.4239106513264,1709.6354037105532,1669.714753904507,1771.2996978628885,1347.6830723858966,1367.361698597886,2253.044514255378,1374.3258500454226,918.0090112263059,1267.1835122232258,1299.8290680352495,3022.4922064211855,1314.696952093128,1277.9684228225442,1221.3720600437653,911.45853960114,1274.761935215843,1285.4138087000938,1279.986803964616,1271.0902110481254,1279.1273487652638,1281.9983647043466,433.3202841233939,491.58205818018735,459.2615418035162,532.3276339703565,489.13165154995295,507.99750099731676,613.7187244054912,490.1139387894173,467.6052073351739,508.79848414972264,492.1840680206742,1838.1237452337646,281.212821782332,381.23157265921554,467.97902171639964,332.6223340767769,486.79887944443965,328.67749604769887,663.0281056639038,315.2335182573923,393.0558773993451,700.7456526410454,451.25181067730057,519.7592082801016,425.82664539420614,319.05321776042155,349.817901791045,536.0757959334097,539.1654951616198,487.9652332011122,402.1100256353438,344.8829803192034,394.3983601202583,593.5006196076605,365.955216574366,485.5986400064237,506.32042095968893,784.9316795585984,795.0035565964685,494.598542772727
5,835.8445469638643,939.5501822112631,985.1919464642325,818.3276898928875,1699.5589529939725,0.0,678.1250948734872,1203.8345107298073,889.8618928892364,1065.2319832300634,1065.2319832300634,1643.5772356819139,1765.8141315150815,1650.3401171620524,1637.6009451735845,1744.6456782980572,1645.2469494336826,1865.0186467121314,2915.7386457994344,1952.5030827980959,1948.969241106106,1961.9885860068161,1757.9906682653384,1764.5621653789262,1763.710369968797,1507.3684452090122,1456.3760391159458,1487.0581363976733,1770.1033834582245,1760.0575385603897,1758.9896262910675,1748.9249265684837,1320.3773654303995,1292.8039431612908,1349.7861969289745,1286.6615910099908,1218.6481980145177,1097.9905153002744,1116.9327784946001,1390.4932655537204,1556.4116640792483,1479.7646319597511,1615.2929235203478,1568.7726907450244,1495.2340763743337,1409.0744926827088,1613.7863648066839,1567.4469825079384,2554.707023735423,523.7691638522391,630.6796609177748,3704.560510668642,2583.431500430284,2473.232509780217,866.1893337533504,1168.1277680866096,962.6963220369835,982.3773826309304,895.2434571557723,1140.071638777868,1279.8506386940485,1587.7137550940893,1342.2516641623558,1530.7884225760863,1070.0898549843962,1068.0534490727705,1291.9874658595975,1742.411247711478,1747.2400891621571,1749.536398551555,1684.6871898821662,2469.784929220123,2312.771348162652,2070.1154725785764,2109.322873394821,2222.7948559618726,2098.545064933309,2026.4182087690838,2177.184098211772,2489.718825220018,2095.57083860183,2451.200574574048,1162.0567851909502,862.9475035397351,1182.1411472413804,1078.1823141206328,2760.474244861127,2763.228727782069,2753.4246280130237,374.270598104984,296.7050262237032,500.25991171611577,380.7958535607648,1777.1689939886517,329.3657472825984,794.1154096491133,2562.453934341615,2243.876812976967,3824.9951136465293,2251.7471064228685,1890.211619708429,1913.7620937704276,1851.5362645726864,1870.2590416151409,1901.0170654482497,1885.6377715173276,1883.1916152025256,1876.7520787098008,1886.3243163424918,1344.6932199174169,1333.5799746444384,1357.000734226635,1413.5013803361458,1269.590489935159,1382.7980284955004,1214.5197887942304,1260.5032035589702,1334.6788930246175,1265.0745846572702,1269.9188025875337,1021.5234251320878,1979.293509318601,2069.5631954268515,2167.5231568446297,2027.848642173288,2174.9776200458127,2027.4203737167054,2331.177212523867,2009.007816872147,2088.0871320788196,2392.129048601253,2123.642221921108,2201.9525256114953,2123.9158009247453,2014.8194105269479,2048.8317033298244,2227.6302603006634,2228.4651166294693,2178.047428849067,2078.7718681164624,2038.3369259457354,2091.655278400805,2243.4332507608337,2058.3111636472186,2185.0621771313677,2180.0122267465968,2479.6886951234046,2451.2571547521025,2082.5910147615405
6,158.8183489821772,306.35573543916064,317.0751843068181,268.3382571195593,1026.5665623384866,678.1250948734872,0.0,1878.4021846544147,381.0100649596606,489.3419825133127,489.3419825133127,1124.5998078509476,1218.8941456544326,1132.895504882631,1123.2221947770033,1174.200691646764,1130.5978935431083,1622.924774610985,2315.0176538829164,1701.716248620778,1703.4505738741254,1713.8459933897877,1081.1782663865342,1088.1457406593656,1088.6468810474619,864.0665032956761,883.9615488859895,808.9847167925939,1093.4619538081977,1083.4460708241365,1082.149815857282,1071.8723330245136,770.6419893272666,616.2605775872895,673.8142840829905,610.9540661657959,563.342134609607,425.0173755232174,440.18440458455945,725.9168251332771,963.050178628849,861.1661091163055,993.2525942013467,907.3589380736171,852.0689837348505,741.0848526931377,1036.0446223567099,977.0525245895501,2080.5640711725755,1078.4649094497277,301.6270020484717,3087.207355309927,1905.4955571192572,1799.4997048974428,411.2878495731739,529.8144474013288,323.21144568222786,881.0918820734169,517.3078257654967,499.7710819273063,655.1051378676353,1359.1326609159828,1187.0285166740446,854.55765868184,1109.180378326112,1107.8847087631582,714.9823964061047,1084.955562306392,1088.3327324038637,1090.7577038118877,1035.3070166371579,1956.3583836184907,1766.9581329821012,1568.6773372004902,1626.8944120925623,1741.5741021868428,1607.9101566723918,1533.7955685137756,1617.023045407739,2045.0706005612717,1595.70332371277,1990.1332331511203,963.9769558538287,558.1725158747627,739.4710018821593,804.0842335963869,2207.465872655961,2210.59961342017,2201.497438912855,743.5811139427731,806.4618966762721,475.73064265362126,405.53407302757967,1865.0693260337366,366.44903871188154,118.80618810771333,1941.8429493908993,1691.1360045790307,3380.6902200345103,1701.4621631140114,1512.1095735893691,1509.2844381895954,1353.548739659307,1495.6112699014507,1523.1744677448526,1509.369715215518,1504.140100279152,1502.2420177961192,1510.6549029125902,669.9072564075459,665.9659298694677,686.6246407515878,760.108165618212,594.4478412025279,722.6603669803475,557.6237517082593,584.520065605017,663.393871246376,592.3403478596107,595.2303414646706,1191.8714924115927,1304.433190836201,1392.5063532063534,1494.0654151613207,1351.9653521897144,1497.6593675777588,1355.2219613723678,1671.5810790835037,1332.8892245945565,1411.9894993590874,1724.434448277714,1461.0603539488402,1537.0674890734326,1452.264938259492,1339.1048186850792,1374.351987943045,1559.4633113518887,1561.203598450971,1510.307908320087,1400.9278996824291,1362.0658867857571,1416.1757766919425,1588.2061429120865,1381.79743178524,1511.8855184947306,1517.56791698842,1810.4160303950634,1796.3060380115219,1407.1074408313912
7,2037.0494198913395,2141.95434358433,2188.769147806929,2014.0893801593272,2903.0338930038333,1203.8345107298073,1878.4021846544147,0.0,2072.9235299870115,2254.3152389225816,2254.3152389225816,2782.9899408439323,2916.4409902821326,2788.5430737633123,2774.6380843969937,2909.1219071148294,2782.0668625545395,2769.8415951423435,4079.927189158262,2854.919310982426,2846.606380028943,2860.6514986025945,2950.4823151297146,2956.1212819754896,2952.6070642304467,2664.990627909815,2558.2240134066883,2684.5763006254083,2962.145145455968,2952.071349774059,2951.5433962535976,2942.0460601851346,2489.9872346183633,2494.5995048647865,2551.986615439867,2488.9825969978397,2421.7843825994883,2301.0713648587066,2318.521369983107,2594.2357683607747,2736.814544788042,2671.5784467111616,2806.561058888659,2772.016391298937,2694.6862387931974,2612.9074973106804,2785.580483850982,2746.28973385199,3476.862035931757,915.233296509354,1811.5473776831534,4875.783604545178,3782.421537914536,3676.6951849321017,1976.1288170183625,2334.21718567516,2139.266282270176,1810.531555506376,1958.6270891065974,2308.6156332571077,2431.6975777484317,2519.9134346258757,2256.5734292304087,2732.868897606997,1707.7066962730462,1705.8522878398712,2409.9633373632355,2944.596593283161,2949.7437340174774,2952.007693339314,2884.913382561376,3573.5237096775104,3446.1992550835967,3179.020577251939,3202.226928694385,3309.6626053347186,3198.1856750616143,3130.761412037961,3324.184841726098,3533.3171265197343,3202.254484646092,3511.1868669969176,2152.0489113588505,1983.1335038038146,2314.456395600179,2136.863492034569,3771.8597427022814,3774.015097657427,3763.6934484761896,1335.5968320846148,1201.306803493141,1630.044295108719,1558.8942741631329,2310.789596122861,1531.5993217838527,1991.5641233738534,3667.034986211669,3278.1672625361884,4639.354445607536,3282.8261961740304,2914.0959580647245,2957.1796587398194,2967.8402313507195,2893.0164227041564,2923.774338307792,2908.401581242956,2908.4508415568234,2898.8333489911233,2908.536039140636,2535.9327666645017,2517.064030293089,2542.9496483262674,2582.559707631882,2461.9001087696442,2558.4975700702066,2391.5355716168833,2454.025297478473,2521.8678447837465,2454.609315126606,2461.6500502619533,1712.3581612536002,3182.263226548925,3270.8260285330584,3371.008675134865,3230.25308731349,3375.819134813713,3231.1153444131805,3532.9436565069573,3211.2363858139283,3290.338799104011,3595.762174179094,3326.4666618129627,3405.2040937777624,3327.686107300786,3217.3356098256095,3251.974137975441,3431.3558804216536,3432.0888454522787,3381.741364738082,3278.406633096004,3240.443696941184,3294.32779069161,3443.877958931218,3260.1987489803937,3388.6159236050908,3382.749089965998,3683.47018551847,3651.1674856430072,3270.7667722968076
8,334.9281714411527,197.9685147881439,307.5075423664115,112.82016504098392,896.235956200201,889.8618928892364,381.0100649596606,2072.9235299870115,0.0,183.74735349514097,183.74735349514097,773.3345760912147,884.571311282856,780.9869608656712,769.7119982449655,856.6817031820882,777.3157775111929,1250.8761649221287,2026.0605776723135,1327.4916799314215,1329.9601385473547,1339.8743948028416,1037.224115316435,1047.9395974237168,1059.9901487500001,963.5610819409981,1082.5816420375797,764.9245064450781,1050.5537826422608,1041.5526087037179,1037.8122199952857,1025.6785900060597,433.1207899002178,558.5809199903508,600.0197779248878,545.5200893759004,409.64791644756383,388.6566534322955,431.4224533434296,581.0115932061556,667.0945031398325,599.7731155823864,734.122619856595,736.0619225862232,635.9989116537323,608.6862959690261,724.2704232479487,677.8109797901495,2296.4995578746225,1370.915506858902,261.7205829456851,2814.942060625593,1791.4356355245056,1648.7450667192356,757.9435154133431,696.2645380592761,551.9661573733404,1259.3209668521529,873.3378130458019,669.9221790397743,819.191746976045,994.4976833626049,850.9702505653299,761.160968221807,1490.189111187656,1488.894435636652,930.240091505764,893.487379042355,900.7736877472662,902.7452244947098,825.4892800060283,1609.440564541486,1435.6082148878365,1214.2126076576797,1265.9485787167148,1381.0512367856081,1249.652427732816,1175.6623546956982,1294.0699620150986,1676.231382599889,1240.8278032543813,1625.0930594000183,630.1277230877375,256.29253493549265,358.84309522348843,457.7041642423199,2356.270708950441,2359.690982388192,2351.4921052674645,780.9773121011881,893.6971980124129,458.9571958956731,515.3836855176104,1586.3155969405132,568.2167095806747,383.5554427177238,2017.2673485623716,1856.4339096780166,3593.509411313475,1868.6948727480726,1131.6781753409427,1130.8848851847079,995.761974578287,1114.9871046296144,1142.759453283598,1128.8459083396465,1123.734211042372,1121.62715634121,1130.1078682241566,690.555344455745,725.8496416801037,730.5461665701131,849.9686378189721,627.0158001023208,799.3522981860234,675.5768955630579,611.8873674271042,706.8287941558888,641.82431338938,631.1603724000471,1004.4287708090551,1173.0437145640751,1277.1952035976274,1348.2379908137464,1226.5736140038657,1382.2895082299922,1206.6629942124855,1472.8381208812145,1210.1818780488231,1286.4023627111135,1548.9994630664391,1273.9649937953213,1355.510515706505,1298.3126828179352,1212.7928276270188,1238.0497864371098,1388.646360001373,1387.097676004057,1338.9397095865345,1297.8093640430227,1239.6833939203773,1285.487270273045,1379.9701256844453,1261.017694274406,1364.0742979144638,1328.9960210936304,1639.4215976868013,1585.0302460378336,1357.6602828840573
9,384.91635218588016,198.31227474311027,274.4614532655682,250.5885451387006,722.1192795289135,1065.2319832300634,489.3419825133127,2254.3152389225816,183.74735349514097,0.0,0.0,635.4165118121804,731.7914309804436,643.7658464551963,634.3270339963611,693.4363281534618,641.6511697704973,1227.534519858616,1854.940872492104,1297.1916554976533,1301.6939966813334,1310.137718422999,881.5576810268475,893.1082130054608,908.304475966678,862.5650162523203,1021.756091923431,618.9942992907338,894.8753307105052,886.3813881703927,882.0207186695014,869.6422651261668,281.320962687592,424.01376055264825,454.70337184270034,409.2827973909955,254.73679425856307,300.45384071773776,344.4237280184987,412.89824712277345,493.047586742,417.29304368153157,552.2797785016055,557.1974568633931,452.95520617756205,442.73729544348936,557.2533117788788,505.0525795161805,2221.8356967524915,1532.961309735963,442.9737755786716,2640.2601088496535,1613.5560828834168,1467.0711371122518,804.2424217857232,646.0736106017996,553.0783628880148,1332.750481761206,922.3847026641967,624.6043050113116,756.437735416883,992.5715222354083,895.1053690986148,599.6387501278471,1577.8590116806718,1576.7495322344403,885.3923244180287,710.7953677623443,718.3549712609084,720.2793641871314,641.9866376415334,1467.5206413334824,1282.1089498255976,1079.4352914615904,1138.7557705399772,1253.1781965151301,1119.140767944795,1045.0804102749978,1135.3558640916597,1560.0137437147903,1106.4820672832868,1503.0134216956367,688.0743602976169,388.8029350087712,312.97147267175853,515.0414468760514,2249.626184759592,2253.142552341574,2245.388500548628,963.9538258931826,1077.4438785227976,642.3953262530489,695.5488839034123,1663.009022503551,739.0702216199982,447.01408407826307,1885.1271058338602,1761.8505544978839,3510.233338677379,1774.8338957210706,1053.9684331659537,1041.068975588497,865.0212461416723,1039.4717405439999,1064.7810521734993,1052.0788725705793,1045.8697348848298,1045.9303263888646,1053.5704248305042,574.8592378567012,623.6689136989979,621.124058332165,751.256268298055,523.1696167269766,698.4651622457426,604.7599369306181,507.6051003984932,599.2929240170328,543.7366706150691,528.3070706495091,1139.5187381884539,995.6293102516892,1101.6031461265975,1167.9146311223874,1049.7023442523189,1205.9874086849175,1026.6608532852313,1289.092026438276,1033.8668050642723,1109.095620010827,1365.8047610222159,1090.5807517405076,1172.261072280757,1117.2959532912732,1035.8764927152174,1059.475833336731,1205.9469194831509,1204.1951505108225,1156.3032671586977,1124.2133776318062,1063.1983888153688,1107.4290113789925,1196.2700350752655,1084.6379603326484,1183.4684601068866,1145.4966313709504,1456.3486271336778,1401.4992660298062,1195.1406511213263
