b.country,b.state,b.city,b.latitude,b.longitude,bit_capacity_min,bit_load_min,bit_capacity_mean,bit_load_mean,bit_capacity_max,bit_load_max,bit_capacity_std,flit_capacity_min,flit_load_min,flit_capacity_mean,flit_load_mean,flit_capacity_max,flit_load_max,flit_capacity_std,a.ecor,region
Bahrain,,ALMANAMAH,26.24,50.58,3800000000,347317816,42846150294.3553,998686295.0922313,43000000000,1586139216,2223405364.410756,2775566416,515666392,19577074640.723076,948070692.1279002,19847999488,1672477912,1048889263.9438387,0,BH
Bangladesh,,DHAKA,23.72,90.41,950000000,3529312,1832229019.9699874,330751893.7642849,1900000000,803854136,244533081.20252123,0,9126064,3002314875.353111,194490488.8523606,3204000000,462671656,572419931.4349202,1,BD
China,,BEIJING,39.9,116.41,320000000,11481920,320000000.0,51898306.82581092,320000000,107199528,0.0,2327597848,37409920,2997509170.9514027,72289768.9410135,3318400000,318701008,264886048.0098242,2,CN
China,,CHANGZHI,36.19,113.1,1900000000,4602296,1900000000.0,169648327.75343415,1900000000,1830138904,0.0,1109880560,8071032,1431462734.0542538,69895088.58824888,1440000000,452266816,43960464.991888836,3,CN
China,,CHONGQING,29.56,106.55,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,4,CN
China,,DEYANG,31.13,104.4,950000000,0,1697102620.3393743,481176819.2967794,1900000000,1295797760,322576085.3565799,0,0,1896090540.5924044,374361863.9824541,2236800000,938775992,273794099.5966194,5,CN
China,,DONGGUAN,23.03,113.73,0,0,2193235.5996767865,0.0,950000000,0,45596091.10276903,0,0,0.0,0.0,0,0,0.0,6,CN
China,,DONGYING,37.46,118.49,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,7,CN
China,,FOSHAN,23.03,113.12,950000000,96888032,950000000.0,665422946.5118319,950000000,1212094832,0.0,478800208,156209136,921993558.1678402,474635540.98487824,1117200000,985913592,142331267.13236478,8,CN
China,,GUANGZHOU,23.12,113.25,0,0,12822347.91642618,283177.668705991,40000000,65783912,18668731.655150805,0,0,7221886.182615722,594960.1828465889,638400000,84938552,67519054.6408634,9,CN
China,,GUILIN,25.28,110.28,950000000,3044336,950000000.0,248930163.5424218,950000000,1481203984,0.0,1187463328,6971992,1433246183.5410366,79287507.993074,1440000000,367903216,38851248.22084613,10,CN
China,,HARBIN,45.75,126.65,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,11,CN
China,,HENGYANG,26.97,112.6,0,0,2193235.5996767865,0.0,950000000,0,45596091.10276903,0,0,0.0,0.0,0,0,0.0,12,CN
China,,HUANGSHAN,29.7,118.3,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,13,CN
China,,JIAN,27.2,115.0,0,0,675297241.1404825,4253106.27080688,1900000000,292037952,909469006.1754336,0,0,57312008.15144869,2397592.9290084266,1200000000,151041176,255722042.33834696,14,CN
China,,JIEYANG,23.55,116.33,29400000000,0,29400000000.0,2053928456.5005195,29400000000,6999252448,0.0,0,0,8471429921.916195,637096911.9408981,8640000000,2235785104,295739902.7549675,15,CN
China,,JILIN,43.86,126.57,0,0,212195544.2687291,61743678.402401015,950000000,1103491376,395697981.11573046,0,0,255720151.06360382,17564913.566201083,1440000000,258317144,527191061.4895232,16,CN
China,,LUOYANG,34.68,112.45,4750000000,16791792,4750000000.0,776707075.3983608,4750000000,3049753728,0.0,4554087032,78520024,5331539120.310286,706036912.742468,5596800000,1968174912,152532086.36427397,17,CN
China,,QUANZHOU,24.9,118.58,0,0,2083573.819692947,0.0,950000000,0,44444143.17378006,0,0,0.0,0.0,0,0,0.0,18,CN
China,,QUZHOU,28.97,118.87,3800000000,42931264,4207283850.859979,1567321060.0771096,4750000000,4810652832,470175543.2246984,3360000000,36029904,4199669568.876371,550595644.0355535,4320000000,1419905776,157830621.83422515,19,CN
China,,SHANGHAI,31.22,121.46,900000000,10038360,900000000.0,91872197.79106545,900000000,486864592,0.0,1318000000,80352048,1970177395.5571973,202846615.8374697,2116000000,516119144,155143907.39789096,20,CN
China,,SHANTOU,23.37,116.67,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,21,CN
China,,SHAOXING,30.0,120.58,1000000000,13373584,9402908923.005888,357601767.59644467,20600000000,856066168,9700463839.162066,548490064,116301328,786864242.3197507,463177560.42387164,798000000,703107368,38598425.26343809,22,CN
China,,SHENYANG,41.8,123.41,9800000000,11068960,9800000000.0,904109010.4471892,9800000000,4372667592,0.0,2891262536,15020024,3581753844.2756553,239500046.8198084,3600000000,1052919360,88832881.85669549,23,CN
China,,TANGSHAN,39.6,118.18,0,0,42987417.753665015,0.0,19600000000,0,904780365.2314209,0,0,0.0,0.0,0,0,0.0,24,CN
China,,TIANJIN,39.14,117.18,3150000000,155347864,3150000000.0,741221222.5917119,3150000000,1086229432,0.0,3069999552,82967688,5187971506.281889,380871697.311324,5470000000,819253360,165101118.08358857,25,CN
China,,WUHAN,30.58,114.27,0,0,1857889876.4862058,18173616.25210666,1900000000,77758888,241330450.61428317,0,0,2282209340.4705067,10405630.551079303,2400000000,125547728,420402575.21519303,26,CN
China,,XIAN,34.26,108.94,1900000000,13507424,2801200507.9071913,565127126.9620224,2850000000,1149906808,209721730.37806264,1946199760,10878576,2903776177.0121207,272174780.3199815,3160000000,575240256,262283062.40101624,27,CN
China,,XIAOGAN,30.92,113.9,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,28,CN
China,,XUZHOU,34.27,117.19,0,7133112,19554750086.57509,467490291.02158606,19600000000,4754924504,940719353.278179,0,14719688,7184647748.739236,294025011.89795685,7440000000,1437156192,432515256.917762,29,CN
China,,YANBIAN,43.13,129.18,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,30,CN
China,,ZHENJIANG,32.21,119.43,0,0,916224171.7649775,585072142.1152025,950000000,1157035176,175925560.65823808,0,0,1742963576.9511716,284575514.1535265,1920000000,1090242520,409895640.772634,31,CN
China,,ZIBO,36.79,118.06,0,0,49657254992.496826,1661683448.3915503,58800000000,7501538472,14028672693.090666,0,0,9255455526.803186,840789785.3307168,10560000000,2525548256,2978440811.0483627,32,CN
Hong Kong,,CENTRALDISTRICT,22.28,114.15,232000000,0,33600365346.877525,1235129270.6258802,217500000000,22341870160,66094863440.01912,0,0,34123107367.50502,656652045.4272192,39882798824,7508245680,9948565209.536068,33,HK
Hong Kong,,HONGKONG,22.28,114.15,203189549776,8337794544,430513140695.14026,43673822512.3777,466339549728,72179153792,32633666599.778095,51739938424,5573792288,102004619197.91203,20760701710.292507,108839444160,38228626064,6805135884.417211,34,HK
Hong Kong,,KOWLOON,22.32,114.18,94400000000,2141701280,102505967909.50017,15959881845.212051,104200000000,31120080952,3695990599.1201034,55885107632,3846588416,70322532324.04941,16317198525.043056,86802146560,38916877352,10172501264.026579,35,HK
Hong Kong,,KWAICHUNG,22.35,114.13,20550000000,147074712,21314452268.267345,1922939435.6984878,21500000000,5953222288,376641420.50670886,5284800000,78766664,9191934251.57659,741808876.6995267,9608399104,2111262648,745557324.4804033,36,HK
Hong Kong,,SAIKUNG,22.38,114.27,950000000,1802728,950000000.0,31954470.476278424,950000000,392138808,0.0,384000000,5603752,571236351.1393281,25273447.795913655,576000000,150148144,29453738.596931368,37,HK
Hong Kong,,SHATIN,22.38,114.18,0,97113304,96619877640.54022,3319675045.8326216,98000000000,14335649432,7865773463.60954,0,135501896,10136429146.246798,1713000716.3181345,10618596896,5455057632,855974284.9499536,38,HK
Hong Kong,,SHEUNGWAN,22.28,114.15,0,71681408,77920350917.69595,6258588756.805725,78400000000,17669280920,5494909822.438562,0,249292344,12165913674.82027,2117471831.6647813,12920000000,5367915992,1058959666.023674,39,HK
Hong Kong,,TAIPO,22.45,114.17,9800000000,25503376,12587325406.90292,286516306.1036592,20400000000,661706872,4600775038.480729,2715568,13152896,709692368.9622532,73471507.89241602,720000000,260180264,62624313.3676549,40,HK
Hong Kong,,WANCHAI,22.28,114.17,280000000,9498408,320151818.07687867,128771023.5862865,399600000,361122480,29992196.031194914,773792000,75649936,2880985813.6673207,231396292.94332218,2933792000,1173750832,246326334.51159218,41,HK
India,,AHMADABAD,23.03,72.62,0,0,0.0,138949.59201356187,0,29614584,0.0,0,0,129395616.5515163,565941.3750235449,1922400000,112666152,477437422.78369725,42,IN-WE
India,,ANDHERI,19.12,72.83,59750000000,175893600,59750000000.0,828177065.4710839,59750000000,1791798056,0.0,8174406504,358124976,15196204087.115318,1054617559.8633268,15309984000,1722600664,313077909.6171038,43,IN-WE
India,,BANGALORE,12.98,77.58,75077000000,1094925944,115904061756.89716,10010627425.729654,133877000000,20021690576,8528521722.663907,20408808984,1283196768,41469960450.23387,5973661319.70172,44605774016,10704754584,3454402362.0836368,44,IN-SO
India,,BHOPAL,23.27,77.4,19000000000,25922960,19000000000.0,504307735.2658432,19000000000,1460518648,0.0,659996032,85677696,5123450894.081958,351766670.4199469,5267996032,916491016,200894742.239694,45,IN-WE
India,,CALCUTTA,22.57,88.37,27200000000,89371488,27200000000.0,1262253529.1155488,27200000000,3198303664,0.0,10109853824,460634728,21693279103.959366,1474253283.0271268,23406000000,3306880600,2499972763.6140537,46,IN-EA
India,,CHANDIGARH,30.75,76.8,950000000,1034760,950000000.0,1566122.8673669628,950000000,84785080,0.0,1149448,12725424,317784577.75828236,19155429.592519913,319200000,107847048,15332871.407267233,47,IN-NO
India,,CHENNAI,13.08,80.28,237450000000,1781046360,250477496941.01352,11457792403.013275,257114000000,22232543624,8486731969.819376,59067095312,2348911760,77684533758.10228,7754198672.284428,81534006728,13378040104,3146250599.017368,48,IN-SO
India,,DELHI,28.67,77.22,43000000000,225676224,48601939282.00392,1928028554.5561583,62600000000,4826897144,5384907196.60561,7929595264,393813928,16815128765.252684,1496764366.8004155,19930795264,2609944576,829496677.9741437,49,IN-NO
India,,HYDERABAD,17.38,78.47,45850000000,308842096,55303001269.76798,2878477362.2227864,56600000000,6238581456,3320205644.8027964,11575701736,301584592,23117472521.04721,1395684303.1162415,25437251608,2776821464,3008428729.2049,50,IN-SO
India,,KOCHI,9.97,76.23,950000000,0,950000000.0,163578513.38150758,950000000,410604232,0.0,0,0,1395012377.739813,68766162.80457117,1440000000,214980480,223808458.88520715,51,IN-SO
India,,MOHALI,30.78,76.69,9800000000,3732704,9800000000.0,196150516.99780676,9800000000,1797171216,0.0,0,12388408,5230384863.714648,88711929.35934433,5280000000,590759864,387966969.7777129,52,IN-NO
India,,MUMBAI,18.98,72.83,244000000000,2678391376,277705881334.4107,21605073271.52626,283200000000,42410191456,8650187434.46343,64493919272,2548552024,81548412325.93974,11459963146.960638,85915487480,19078371576,4646118775.743241,53,IN-WE
India,,NEWDELHI,28.6,77.2,98100000000,1347738136,144759448228.0965,12916491599.03867,147100000000,28484958584,8363582149.31468,25773037280,1241219344,47915628923.07884,6884313570.531225,51120584456,12681926992,4061335055.2670813,54,IN-NO
India,,PUNE,18.53,73.87,1900000000,9938040,2847697102.6203394,155304199.24552694,2850000000,533623360,46719387.10068799,1634662984,33909736,3032100585.2060485,144788566.33037055,3200400000,398935368,224163467.70016903,55,IN-WE
India,,SECUNDERABAD,17.45,78.5,0,2395520,1761606833.6603947,114955719.20212397,1900000000,388538464,493783852.3361421,0,6008472,2358942012.7410827,91960534.10227405,2563200000,363765344,673480241.6768407,56,IN-SO
India,,SURAT,20.97,72.9,1900000000,0,1900000000.0,72700136.59563662,1900000000,267188392,0.0,0,0,1169411916.1602216,52760957.26191851,1344000000,225144312,170691180.10504505,57,IN-WE
India,,VADODARA,22.3,73.2,950000000,0,950000000.0,48282516.52960868,950000000,145225800,0.0,0,0,289568510.8595175,60972048.809881106,319200000,186245464,88000835.81097196,58,IN-WE
Indonesia,,BEKASI,-6.23,106.98,950000000,3020120,950000000.0,108695632.46081035,950000000,352204744,0.0,720496512,4761944,1192413336.6962945,72115007.08299665,1200000000,243991528,43198031.94839675,59,ID
Indonesia,,DENPASAR,-8.65,115.22,950000000,0,950000000.0,19105625.935588133,950000000,84700160,0.0,0,0,952372750.3737736,14171259.582130902,961200000,231958272,54058477.92431186,60,ID
Indonesia,,JAKARTA,-6.17,106.8,237545000000,2723292352,263091635114.8563,14921630729.41937,266945000000,29449455384,3988660537.7532444,42481351448,2554549856,65303791964.69768,8369786395.058525,70952640728,14907993728,3235717791.164957,61,ID
Indonesia,,KUNINGAN,-6.23,106.82,5700000000,151088984,6646381161.260533,696489518.986956,6650000000,1434115104,58525175.70151576,2880000000,73255368,5375541803.306937,461000540.1149717,5443200000,877334480,237116899.47233173,62,ID
Indonesia,,SAMBU,1.17,103.9,58800000000,266772688,58800000000.0,2262739753.5338798,58800000000,13299524928,0.0,1920000000,209118136,15224048656.32506,1228831553.7841394,15360000000,6043058096,564603564.051448,63,ID
Indonesia,,SURABAYA,-4.67,105.72,98000000000,84161072,116769664088.6529,6263880245.635922,117600000000,12325553128,3948028038.064588,0,142600680,14865021268.782639,5052444731.482396,15443996032,8443166816,1416459789.6339345,64,ID
Indonesia,,TANGERANG,-6.18,106.62,0,0,18925776289.968834,1520563617.8570933,19600000000,3932866008,3572349399.240345,0,0,2457896403.5202584,851005852.2913541,2688000000,1847594664,552510856.0932373,65,ID
Indonesia,,YOGYAKARTA,-7.8,110.37,2850000000,9395376,2850000000.0,144745660.8796029,2850000000,397571688,0.0,719999936,11723664,1639237744.4469583,85571292.74939397,1681200000,266501552,123708681.90642977,66,ID
Israel,,GIVATSHMUEL,32.08,34.85,3800000000,4500120,3800000000.0,318610104.0480203,3800000000,961260160,0.0,0,13131872,4462973005.602678,160419611.07791758,4485599232,497049664,162187531.169314,67,IL
Israel,,HAIFA,32.82,34.99,134500000000,1319400192,140237689022.27866,9646477669.280388,144300000000,22454819528,4828143325.075325,4043200000,1007030088,20281203040.603024,4050627269.5915966,21766799872,7779563192,1654766727.282871,68,IL
Israel,,JERUSALEM,31.77,35.23,950000000,4858296,950000000.0,58347489.49417061,950000000,157461864,0.0,0,10247224,2551821639.9104238,43752416.554080576,2563200000,329197680,63821120.1772613,69,PS
Israel,,PETACHTIKVAH,32.09,34.87,139160000000,2606980352,140108026087.9603,14830213783.436686,140110000000,28623401904,43261254.56874695,24029276568,1772681496,27806569651.858246,5428824665.495094,28272000000,9216061056,549834239.2788903,70,IL
