b.country,b.state,b.city,b.latitude,b.longitude,bit_capacity_min,bit_load_min,bit_capacity_mean,bit_load_mean,bit_capacity_max,bit_load_max,bit_capacity_std,flit_capacity_min,flit_load_min,flit_capacity_mean,flit_load_mean,flit_capacity_max,flit_load_max,flit_capacity_std,a.ecor,region
Austria,,KLAGENFURT,46.62,14.31,950000000,1495960,950000000.0,8507268.462195544,950000000,145497344,0.0,0,21885648,476331487.92889297,34644679.18919543,478800000,196039840,19906864.11432686,0,AT
Austria,,LINZ,48.3,14.3,1900000000,12479880,1900000000.0,457837738.3705414,1900000000,1428283656,0.0,0,8107272,1432866027.1924276,121867501.24160221,1440000000,351853872,46890600.76975489,1,AT
Austria,,SALZBURG,47.8,13.03,950000000,2672552,950000000.0,254203426.30312824,950000000,963825056,0.0,480000000,2376264,715716397.6737851,63286356.47050675,720000000,307519088,31376266.29647285,2,AT
Austria,,VIENNA,48.2,16.37,550060000000,6581405560,713921244372.6191,53248755484.73739,717560000000,128059197576,18464093570.908344,115942121152,6918367624,153015903784.77573,27577608809.66409,157091322240,54571474872,4380495128.07028,3,AT
Belgium,,BRUSSELS,50.83,4.33,186433000000,4496972384,311696372965.4854,31706105438.725616,313833000000,67286351944,13042082962.055618,50652910320,2946378336,86387578373.35335,14515501717.729193,89599988088,36550662504,3861094834.404186,4,BE
Bulgaria,,SOFIA,42.68,23.32,43900000000,631394696,43900000000.0,5833756653.696872,43900000000,12560903104,0.0,6959999472,336255568,11266816243.114857,2237305601.32887,11520000000,4314605712,290568460.118829,5,BG
Croatia,,ZAGREB,45.8,16.0,1900000000,46636704,1900000000.0,611868178.7186887,1900000000,1358609816,0.0,319200000,41539152,950644171.0612952,254343099.73080918,960000000,555372048,51428445.20835733,6,HR
Cyprus,,NICOSIA,35.17,33.37,13600000000,214066664,13600000000.0,1584860732.9165416,13600000000,4028391664,0.0,3764399872,128707904,4566799990.256494,597995916.7300012,4883999744,1463502800,255903990.34617063,7,CY
Czech Republic,,BRNO,49.2,16.63,3832000000,4109216,3832000000.0,34694947.35588133,3832000000,397917184,0.0,1457472936,3594816,1693281081.1035438,21487183.010042712,1700000000,193659904,38790898.709690966,8,CZ
Czech Republic,,PRAGUE,50.08,14.47,246350000000,2378832792,246350000000.0,28016663807.839317,246350000000,68264672288,0.0,40542485488,2223255952,45769222990.598175,13195057748.469584,48408000000,26609292712,1655059803.4645092,9,CZ
