a.ecor,1,2,3,4,5,6,7,8,9,10,11,12
0,145497344.0,145497344.0,145497344.0,145497344.0,145497344.0,145497344.0,145497344.0,145497344.0,145497344.0,145497344.0,145497344.0,145497344.0
1,1428283656.0,1428283656.0,1428283656.0,1428283656.0,1428283656.0,1428283656.0,1428283656.0,1428283656.0,1428283656.0,1428283656.0,1428283656.0,1428283656.0
2,963825056.0,963825056.0,963825056.0,963825056.0,963825056.0,963825056.0,963825056.0,963825056.0,963825056.0,963825056.0,963825056.0,963825056.0
3,128059197576.0,128059197576.0,128059197576.0,128059197576.0,128059197576.0,128059197576.0,128059197576.0,128059197576.0,128059197576.0,128059197576.0,128059197576.0,128059197576.0
4,67286351944.0,67286351944.0,67286351944.0,67286351944.0,67286351944.0,67286351944.0,67286351944.0,67286351944.0,67286351944.0,67286351944.0,67286351944.0,67286351944.0
5,12560903104.0,12560903104.0,12560903104.0,12560903104.0,12560903104.0,12560903104.0,12560903104.0,12560903104.0,12560903104.0,12560903104.0,12560903104.0,12560903104.0
6,1358609816.0,1358609816.0,1358609816.0,1358609816.0,1358609816.0,1358609816.0,1358609816.0,1358609816.0,1358609816.0,1358609816.0,1358609816.0,1358609816.0
7,4028391664.0,4028391664.0,4028391664.0,4028391664.0,4028391664.0,4028391664.0,4028391664.0,4028391664.0,4028391664.0,4028391664.0,4028391664.0,4028391664.0
8,397917184.0,397917184.0,397917184.0,397917184.0,397917184.0,397917184.0,397917184.0,397917184.0,397917184.0,397917184.0,397917184.0,397917184.0
9,68264672288.0,68264672288.0,68264672288.0,68264672288.0,68264672288.0,68264672288.0,68264672288.0,68264672288.0,68264672288.0,68264672288.0,68264672288.0,68264672288.0
10,1127892448.0,1127892448.0,1127892448.0,1127892448.0,1127892448.0,1127892448.0,1127892448.0,1127892448.0,1127892448.0,1127892448.0,1127892448.0,1127892448.0
11,20084975664.0,20084975664.0,20084975664.0,20084975664.0,20084975664.0,20084975664.0,20084975664.0,20084975664.0,20084975664.0,20084975664.0,20084975664.0,20084975664.0
12,18030281712.0,18030281712.0,18030281712.0,18030281712.0,18030281712.0,18030281712.0,18030281712.0,18030281712.0,18030281712.0,18030281712.0,18030281712.0,18030281712.0
13,12984401488.0,12984401488.0,12984401488.0,12984401488.0,12984401488.0,12984401488.0,12984401488.0,12984401488.0,12984401488.0,12984401488.0,12984401488.0,12984401488.0
14,37467509192.0,37467509192.0,37467509192.0,37467509192.0,37467509192.0,37467509192.0,37467509192.0,37467509192.0,37467509192.0,37467509192.0,37467509192.0,37467509192.0
15,14742839224.0,14742839224.0,14742839224.0,14742839224.0,14742839224.0,14742839224.0,14742839224.0,14742839224.0,14742839224.0,14742839224.0,14742839224.0,14742839224.0
16,4015861936.0,4015861936.0,4015861936.0,4015861936.0,4015861936.0,4015861936.0,4015861936.0,4015861936.0,4015861936.0,4015861936.0,4015861936.0,4015861936.0
17,4524563112.0,4524563112.0,4524563112.0,4524563112.0,4524563112.0,4524563112.0,4524563112.0,4524563112.0,4524563112.0,4524563112.0,4524563112.0,4524563112.0
19,25424808032.0,25424808032.0,25424808032.0,25424808032.0,25424808032.0,25424808032.0,25424808032.0,25424808032.0,25424808032.0,25424808032.0,25424808032.0,25424808032.0
20,23568526392.0,23568526392.0,23568526392.0,23568526392.0,23568526392.0,23568526392.0,23568526392.0,23568526392.0,23568526392.0,23568526392.0,23568526392.0,23568526392.0
21,51997460376.0,51997460376.0,51997460376.0,51997460376.0,51997460376.0,51997460376.0,51997460376.0,51997460376.0,51997460376.0,51997460376.0,51997460376.0,51997460376.0
22,74237902768.0,74237902768.0,74237902768.0,74237902768.0,74237902768.0,74237902768.0,74237902768.0,74237902768.0,74237902768.0,74237902768.0,74237902768.0,74237902768.0
23,8705780664.0,7593937168.0,8705780664.0,8705780664.0,8705780664.0,8705780664.0,8705780664.0,8705780664.0,8705780664.0,8705780664.0,8705780664.0,8705780664.0
24,8151818200.0,8151818200.0,8151818200.0,8151818200.0,8151818200.0,8151818200.0,8151818200.0,8151818200.0,8151818200.0,8151818200.0,8151818200.0,8151818200.0
25,5435833560.0,5435833560.0,5435833560.0,5435833560.0,5435833560.0,5435833560.0,5435833560.0,5435833560.0,5435833560.0,5435833560.0,5435833560.0,5435833560.0
26,313874904.0,313874904.0,313874904.0,313874904.0,313874904.0,313874904.0,313874904.0,313874904.0,313874904.0,313874904.0,313874904.0,313874904.0
27,490663552.0,490663552.0,490663552.0,490663552.0,490663552.0,490663552.0,490663552.0,490663552.0,490663552.0,490663552.0,490663552.0,490663552.0
28,134482264736.0,134482264736.0,134482264736.0,134482264736.0,134482264736.0,134482264736.0,134482264736.0,134482264736.0,134482264736.0,134482264736.0,134482264736.0,134482264736.0
29,203132201248.0,200174201536.0,203132201248.0,203132201248.0,203132201248.0,203132201248.0,203132201248.0,203132201248.0,203132201248.0,203132201248.0,203132201248.0,203132201248.0
30,66470677128.0,66470677128.0,66470677128.0,66470677128.0,66470677128.0,66470677128.0,66470677128.0,66470677128.0,66470677128.0,66470677128.0,66470677128.0,66470677128.0
31,37198834448.0,37198834448.0,37198834448.0,37198834448.0,37198834448.0,37198834448.0,37198834448.0,37198834448.0,37198834448.0,37198834448.0,37198834448.0,37198834448.0
32,66767604832.0,66767604832.0,66767604832.0,66767604832.0,66767604832.0,66767604832.0,66767604832.0,66767604832.0,66767604832.0,66767604832.0,66767604832.0,66767604832.0
34,9734449024.0,9734449024.0,9734449024.0,9734449024.0,9734449024.0,9734449024.0,9734449024.0,9734449024.0,9734449024.0,9734449024.0,9734449024.0,9734449024.0
35,13749409232.0,13749409232.0,13749409232.0,13749409232.0,13749409232.0,13749409232.0,13749409232.0,13749409232.0,13749409232.0,13749409232.0,13749409232.0,13749409232.0
36,3060370632.0,3060370632.0,3060370632.0,3060370632.0,3060370632.0,3060370632.0,3060370632.0,3060370632.0,3060370632.0,3060370632.0,3060370632.0,3060370632.0
37,107761374208.0,107761374208.0,107761374208.0,107761374208.0,107761374208.0,107761374208.0,107761374208.0,107761374208.0,107761374208.0,107761374208.0,107761374208.0,107761374208.0
38,63816184.0,63816184.0,63816184.0,63816184.0,63816184.0,63816184.0,63816184.0,63816184.0,63816184.0,63816184.0,63816184.0,63816184.0
39,864649059904.0,864649059904.0,864649059904.0,864649059904.0,864649059904.0,864649059904.0,864649059904.0,864649059904.0,864649059904.0,864649059904.0,864649059904.0,864649059904.0
40,118499408728.0,118074486296.0,118499408728.0,118074486296.0,118499408728.0,118074486296.0,118499408728.0,118499408728.0,118074486296.0,118499408728.0,118074486296.0,118499408728.0
41,3279761168.0,3190312760.0,3279761168.0,3279761168.0,3279761168.0,3279761168.0,3279761168.0,3279761168.0,3279761168.0,3279761168.0,3279761168.0,3279761168.0
42,8388590880.0,8388590880.0,8388590880.0,8388590880.0,8388590880.0,8388590880.0,8388590880.0,8388590880.0,8388590880.0,8388590880.0,8388590880.0,8388590880.0
43,108687082352.0,108687082352.0,108687082352.0,108687082352.0,108687082352.0,108687082352.0,108687082352.0,108687082352.0,108687082352.0,108687082352.0,108687082352.0,108687082352.0
44,9889140840.0,9889140840.0,9889140840.0,9889140840.0,9889140840.0,9889140840.0,9889140840.0,9889140840.0,9889140840.0,9889140840.0,9889140840.0,9889140840.0
45,17134856.0,17134856.0,17134856.0,17134856.0,17134856.0,17134856.0,17134856.0,17134856.0,17134856.0,17134856.0,17134856.0,17134856.0
46,407706904.0,357827760.0,407706904.0,360779688.0,407706904.0,360779688.0,407706904.0,407706904.0,360779688.0,407706904.0,360779688.0,407706904.0
47,2856671432.0,2856671432.0,2856671432.0,2856671432.0,2856671432.0,2856671432.0,2856671432.0,2856671432.0,2856671432.0,2856671432.0,2856671432.0,2856671432.0
49,36398857752.0,36398857752.0,36398857752.0,36398857752.0,36398857752.0,36398857752.0,36398857752.0,36398857752.0,36398857752.0,36398857752.0,36398857752.0,36398857752.0
50,3186476688.0,3179279920.0,3186476688.0,3186476688.0,3186476688.0,3186476688.0,3186476688.0,3186476688.0,3186476688.0,3186476688.0,3186476688.0,3186476688.0
51,3991700632.0,3991700632.0,3991700632.0,3991700632.0,3991700632.0,3991700632.0,3991700632.0,3991700632.0,3991700632.0,3991700632.0,3991700632.0,3991700632.0
52,555832104.0,517984160.0,555832104.0,555832104.0,555832104.0,555832104.0,555832104.0,555832104.0,555832104.0,555832104.0,555832104.0,555832104.0
53,39991070872.0,39991070872.0,39991070872.0,39991070872.0,39991070872.0,39991070872.0,39991070872.0,39991070872.0,39991070872.0,39991070872.0,39991070872.0,39991070872.0
54,30645408.0,30645408.0,30645408.0,30645408.0,30645408.0,30645408.0,30645408.0,30645408.0,30645408.0,30645408.0,30645408.0,30645408.0
55,263808089440.0,263808089440.0,263808089440.0,263808089440.0,263808089440.0,263808089440.0,263808089440.0,263808089440.0,263808089440.0,263808089440.0,263808089440.0,263808089440.0
56,233188496.0,233188496.0,233188496.0,233188496.0,233188496.0,233188496.0,233188496.0,233188496.0,233188496.0,233188496.0,233188496.0,233188496.0
57,68516175008.0,68516175008.0,68516175008.0,68516175008.0,68516175008.0,68516175008.0,68516175008.0,68516175008.0,68516175008.0,68516175008.0,68516175008.0,68516175008.0
58,5254877712.0,5136766640.0,5254877712.0,5254877712.0,5254877712.0,5254877712.0,5254877712.0,5254877712.0,5254877712.0,5254877712.0,5254877712.0,5254877712.0
59,77144632.0,77144632.0,77144632.0,77144632.0,77144632.0,77144632.0,77144632.0,77144632.0,77144632.0,77144632.0,77144632.0,77144632.0
60,10176731560.0,10176731560.0,10176731560.0,10176731560.0,10176731560.0,10176731560.0,10176731560.0,10176731560.0,10176731560.0,10176731560.0,10176731560.0,10176731560.0
61,5419850120.0,5419850120.0,5419850120.0,5419850120.0,5419850120.0,5419850120.0,5419850120.0,5419850120.0,5419850120.0,5419850120.0,5419850120.0,5419850120.0
62,357586368.0,329837408.0,357586368.0,357586368.0,357586368.0,357586368.0,357586368.0,357586368.0,357586368.0,357586368.0,357586368.0,357586368.0
63,2672142336.0,2672142336.0,2672142336.0,2672142336.0,2672142336.0,2672142336.0,2672142336.0,2672142336.0,2672142336.0,2672142336.0,2672142336.0,2672142336.0
64,250367704.0,250367704.0,250367704.0,250367704.0,250367704.0,250367704.0,250367704.0,250367704.0,250367704.0,250367704.0,250367704.0,250367704.0
65,1188424360.0,1188424360.0,1188424360.0,1188424360.0,1188424360.0,1188424360.0,1188424360.0,1188424360.0,1188424360.0,1188424360.0,1188424360.0,1188424360.0
